case_id,symptom,topology_note,show_output,expected_fault,osi_layer,concept_tag,severity
CASE-001,PC cannot ping its default gateway. Link light is green.,"PC is on switchport Fa0/1, should be in VLAN 10 (Sales).","Switch# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
10   Sales                            active    
20   Engineering                      active    ",Port Fa0/1 is in the default VLAN (1) instead of VLAN 10.,Layer 2,VLAN,High
CASE-002,PC1 in VLAN 20 cannot communicate with PC2 in VLAN 20 on another switch.,Switches are connected via Gi0/1.,"Switch1# show interfaces trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-19,21-1005

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1",VLAN 20 is not allowed on the trunk link Gi0/1.,Layer 2,VLAN,Medium
CASE-003,New PC on Fa0/5 cannot communicate on network.,Should be in VLAN 30.,"Switch# show interfaces status

Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/5                        connected    1          a-full  a-100 10/100BaseTX",Port Fa0/5 is assigned to VLAN 1 instead of VLAN 30.,Layer 2,VLAN,Low
CASE-004,Users on switch 2 complain of intermittent connectivity to VLAN 10.,Native VLAN mismatch suspected between Switch 1 and 2.,"Switch1# show interfaces Gi0/1 trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

Switch2# show interfaces Gi0/1 trunk

Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1","Native VLAN mismatch (99 on Sw1, 1 on Sw2).",Layer 2,VLAN,High
CASE-005,PC can ping other PCs in same subnet but cannot reach internet.,PC IP: 192.168.1.50/24. Router IP: 192.168.1.1/24.,"C:\> ipconfig

Ethernet adapter Ethernet:
   IPv4 Address. . . . . . . . . . . : 192.168.1.50
   Subnet Mask . . . . . . . . . . . : 255.255.255.0
   Default Gateway . . . . . . . . . : 192.168.2.1",Default gateway is configured on a different subnet (192.168.2.1) than the PC.,Layer 3,gateway,High
CASE-006,Router cannot route traffic for VLAN 10.,Router on a stick configuration. Router interface Gi0/0.10.,"Router# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES unset  administratively down down
GigabitEthernet0/0.10      10.0.10.1       YES manual administratively down down",Physical interface Gi0/0 is administratively down.,Layer 1,gateway,Critical
CASE-007,Hosts in VLAN 20 cannot reach the gateway.,Router subinterface Gi0/0.20 IP is 10.0.20.1/24.,"Router# show run interface Gi0/0.20
Building configuration...

interface GigabitEthernet0/0.20
 encapsulation dot1Q 30
 ip address 10.0.20.1 255.255.255.0","Subinterface encapsulation dot1Q is set to VLAN 30, but IP belongs to VLAN 20.",Layer 2,gateway,High
CASE-008,Server cannot respond to requests from other subnets.,Server IP is 172.16.0.100/24.,"LinuxServer$ ip route
172.16.0.0/24 dev eth0 proto kernel scope link src 172.16.0.100",Missing default gateway route on the server.,Layer 3,gateway,High
CASE-009,PC receives an APIPA address (169.254.x.x).,DHCP server is on a different subnet (192.168.10.10). Router interface Gi0/1 connects to PC's VLAN.,"Router# show run interface Gi0/1
Building configuration...

interface GigabitEthernet0/1
 ip address 192.168.5.1 255.255.255.0
 duplex auto
 speed auto",Missing ip helper-address on the router interface.,Layer 3,DHCP,Medium
CASE-010,IP address conflict reported by PC.,DHCP pool 192.168.1.0/24.,"Router# show run | section dhcp
ip dhcp pool LAN
 network 192.168.1.0 255.255.255.0
 default-router 192.168.1.1
Router# show ip dhcp conflict
IP address        Detection method   Detection time
192.168.1.1       Ping               Mar 01 12:00 PM",DHCP pool does not exclude the router's IP address (192.168.1.1).,Layer 3,DHCP,Medium
CASE-011,No clients are getting IP addresses from the router.,Router is configured as DHCP server.,"Router# show run | section dhcp
no service dhcp
ip dhcp pool OFFICE
 network 10.10.10.0 255.255.255.0",DHCP service is disabled globally (no service dhcp).,Layer 7,DHCP,Critical
CASE-012,Clients get IPs but cannot resolve hostnames.,DHCP pool config.,"Router# show run | section dhcp
ip dhcp pool GUESTS
 network 192.168.20.0 255.255.255.0
 default-router 192.168.20.1",Missing dns-server configuration in the DHCP pool.,Layer 3,DHCP,Medium
